date,resting_hr,min_hr,max_hr,measurements
2020-07-18,59.8,56.0,187.0,130
2020-07-19,62.3,60.0,101.0,161
2020-07-20,57.7,51.0,82.0,93
2020-07-21,57.0,53.0,86.0,176
2020-07-22,55.9,52.9,85.0,171
2020-07-23,58.3,55.0,121.0,187
2020-07-24,56.5,52.0,120.3,218
2020-07-25,63.1,61.0,120.5,186
2020-07-26,58.3,56.0,91.0,118
2020-07-27,55.8,54.0,83.0,170
2020-07-28,55.0,49.0,85.0,178
2020-07-29,59.1,56.0,121.1,200
2020-07-30,61.9,59.0,128.5,187
2020-07-31,61.4,56.0,120.0,187
2020-08-01,61.3,58.0,174.0,190
2020-08-02,68.4,64.0,154.0,125
2020-08-03,57.9,55.0,101.0,178
2020-08-04,59.4,57.0,97.0,126
2020-08-05,57.4,56.0,145.0,177
2020-08-06,59.3,52.0,118.9,203
2020-08-07,59.6,55.0,115.6,185
2020-08-08,73.3,62.0,186.0,172
2020-08-09,64.2,60.0,109.0,164
2020-08-10,58.3,51.0,116.0,170
2020-08-11,54.1,51.0,87.0,140
2020-08-12,54.2,52.8,77.0,192
2020-08-13,52.5,47.0,83.0,163
2020-08-14,59.7,57.0,119.0,201
2020-08-15,61.0,56.0,123.0,175
2020-08-16,58.4,53.0,125.3,206
2020-08-17,58.8,55.0,130.0,197
2020-08-18,51.9,48.0,87.0,171
2020-08-19,57.1,54.0,118.8,200
2020-08-20,61.2,59.0,117.0,167
2020-08-21,57.4,56.0,191.0,180
2020-08-22,57.9,55.0,114.0,184
2020-08-23,58.5,52.0,173.4,195
2020-08-24,55.6,50.0,87.0,173
2020-08-25,57.6,47.0,169.3,199
2020-08-26,59.4,56.0,106.0,125
2020-08-27,54.9,50.0,88.0,182
2020-08-28,55.0,52.0,114.9,196
2020-08-29,54.1,42.0,157.9,224
2020-08-30,52.9,46.0,84.0,172
2020-08-31,57.5,54.0,166.0,346
2020-09-01,64.0,61.0,108.0,151
2020-09-02,57.3,55.0,75.0,99
2020-09-03,57.5,52.0,168.3,214
2020-09-04,57.5,53.0,96.0,203
2020-09-05,54.1,52.0,87.0,214
2020-09-06,63.1,59.0,167.8,139
2020-09-07,55.6,53.0,121.0,169
2020-09-08,55.7,51.0,94.0,172
2020-09-09,58.2,54.3,123.6,212
2020-09-10,61.0,55.0,157.0,156
2020-09-11,56.4,55.0,98.0,132
2020-09-12,54.5,53.0,76.0,150
2020-09-13,53.6,47.0,150.0,168
2020-09-14,54.9,53.0,87.0,169
2020-09-15,58.2,56.0,171.3,204
2020-09-16,56.1,52.0,74.0,157
2020-09-17,55.2,51.0,101.7,201
2020-09-18,58.2,51.0,171.1,192
2020-09-19,57.6,56.0,115.0,180
2020-09-20,59.7,54.0,173.1,204
2020-09-21,53.8,49.0,120.0,143
2020-09-22,53.2,50.0,90.0,184
2020-09-23,56.4,53.0,174.8,153
2020-09-24,52.8,49.0,78.0,200
2020-09-25,50.6,48.0,103.9,278
2020-09-26,51.3,49.0,177.8,294
2020-09-27,53.5,45.0,104.4,251
2020-09-28,51.6,50.0,74.0,262
2020-09-29,51.3,49.0,178.2,289
2020-09-30,54.6,51.0,122.0,276
2020-10-01,52.3,50.0,79.0,268
2020-10-02,51.6,50.0,116.2,258
2020-10-03,54.9,53.0,122.9,282
2020-10-04,53.6,52.0,180.4,298
2020-10-05,54.2,47.0,115.0,255
2020-10-06,54.4,51.0,179.7,268
2020-10-07,54.4,50.0,115.0,244
2020-10-08,51.4,47.0,87.0,252
2020-10-09,50.6,49.0,112.0,229
2020-10-10,63.4,59.0,178.4,197
2020-10-11,59.4,56.0,181.6,209
2020-10-12,54.8,54.0,73.0,146
2020-10-13,54.1,51.9,173.8,294
2020-10-14,55.0,46.0,178.9,214
2020-10-15,53.8,53.0,69.0,119
2020-10-16,53.2,50.0,113.0,286
2020-10-17,53.4,45.0,97.0,189
2020-10-18,50.8,48.0,173.6,315
2020-10-19,51.3,48.0,76.0,254
