start_time,km,split_time_sec,split_pace_min,avg_speed_ms,date
2020-03-18 18:00:20,5,894.0,14.9,1.12,2020-03-18
2020-03-18 18:00:20,6,861.0,14.35,1.16,2020-03-18
2020-03-18 18:00:20,7,875.0,14.58,1.14,2020-03-18
2020-03-18 18:00:20,8,857.0,14.28,1.17,2020-03-18
2020-03-18 18:00:20,9,752.0,12.53,1.33,2020-03-18
2020-03-19 18:02:55,1,715.0,11.92,1.4,2020-03-19
2020-03-19 18:02:55,2,686.0,11.43,1.46,2020-03-19
2020-03-19 18:02:55,3,738.0,12.3,1.36,2020-03-19
2020-03-19 18:02:55,4,774.0,12.9,1.29,2020-03-19
2020-03-19 18:02:55,5,774.0,12.9,1.29,2020-03-19
2020-03-19 18:02:55,6,757.0,12.62,1.32,2020-03-19
2020-03-19 18:02:55,7,786.0,13.1,1.27,2020-03-19
2020-03-19 18:02:55,8,755.0,12.58,1.33,2020-03-19
2020-03-21 10:56:24,1,631.0,10.52,1.59,2020-03-21
2020-03-21 10:56:24,2,682.0,11.37,1.47,2020-03-21
2020-03-23 11:42:05,1,632.0,10.53,1.59,2020-03-23
2020-03-23 11:42:05,2,636.0,10.6,1.57,2020-03-23
2020-03-23 11:42:05,3,1340.0,22.33,0.85,2020-03-23
2020-03-23 11:42:05,4,676.0,11.27,1.5,2020-03-23
2020-03-24 16:58:05,1,1293.0,21.55,1.17,2020-03-24
2020-03-25 20:48:16,1,668.0,11.13,1.5,2020-03-25
2020-03-25 20:48:16,2,616.0,10.27,1.62,2020-03-25
2020-03-25 20:48:16,3,621.0,10.35,1.61,2020-03-25
2020-03-25 20:48:16,4,982.0,16.37,1.14,2020-03-25
2020-03-25 20:48:16,5,665.0,11.08,1.51,2020-03-25
2020-03-25 20:48:16,6,665.0,11.08,1.51,2020-03-25
2020-03-27 16:03:22,1,661.0,11.02,1.52,2020-03-27
2020-03-27 16:03:22,2,996.0,16.6,1.21,2020-03-27
2020-03-27 16:03:22,3,638.0,10.63,1.57,2020-03-27
2020-03-28 14:29:05,1,629.0,10.48,1.59,2020-03-28
2020-03-28 14:29:05,2,1143.0,19.05,0.93,2020-03-28
2020-03-28 14:29:05,3,783.0,13.05,1.28,2020-03-28
2020-03-28 14:29:05,4,698.0,11.63,1.5,2020-03-28
2020-03-29 20:41:20,1,699.0,11.65,1.43,2020-03-29
2020-03-29 20:41:20,2,672.0,11.2,1.49,2020-03-29
2020-03-29 20:41:20,3,694.0,11.57,1.44,2020-03-29
2020-03-30 14:34:09,1,707.0,11.78,1.41,2020-03-30
2020-03-30 14:34:09,2,770.0,12.83,1.3,2020-03-30
2020-03-30 14:34:09,3,1508.0,25.13,0.69,2020-03-30
2020-03-30 14:34:09,4,757.0,12.62,1.32,2020-03-30
2020-04-03 19:53:51,1,610.0,10.17,1.64,2020-04-03
2020-04-03 19:53:51,2,579.0,9.65,1.73,2020-04-03
2020-04-03 19:53:51,3,573.0,9.55,1.75,2020-04-03
2020-04-03 15:32:05,1,611.0,10.18,1.64,2020-04-03
2020-04-03 15:32:05,2,675.0,11.25,1.48,2020-04-03
2020-04-03 15:32:05,3,640.0,10.67,1.56,2020-04-03
2020-04-04 20:23:31,1,717.0,11.95,1.4,2020-04-04
2020-04-04 13:17:55,1,640.0,10.67,1.57,2020-04-04
2020-04-04 13:17:55,2,644.0,10.73,1.56,2020-04-04
2020-04-04 13:17:55,3,736.0,12.27,1.49,2020-04-04
2020-04-04 13:17:55,4,598.0,9.97,1.67,2020-04-04
2020-04-04 13:17:55,5,609.0,10.15,1.64,2020-04-04
2020-04-06 15:25:32,1,710.0,11.83,1.41,2020-04-06
2020-04-06 15:25:32,2,692.0,11.53,1.45,2020-04-06
2020-04-06 15:25:32,3,709.0,11.82,1.41,2020-04-06
2020-04-06 15:25:32,4,736.0,12.27,1.36,2020-04-06
2020-04-06 15:25:32,5,725.0,12.08,1.38,2020-04-06
2020-04-06 17:41:21,1,746.0,12.43,1.34,2020-04-06
2020-04-06 17:41:21,2,833.0,13.88,1.2,2020-04-06
2020-04-06 17:41:21,3,809.0,13.48,1.24,2020-04-06
2020-04-06 17:41:21,4,808.0,13.47,1.24,2020-04-06
2020-04-09 18:25:45,1,718.0,11.97,1.4,2020-04-09
2020-04-09 18:25:45,2,712.0,11.87,1.41,2020-04-09
2020-04-09 18:25:45,3,746.0,12.43,1.34,2020-04-09
2020-04-09 18:25:45,4,762.0,12.7,1.31,2020-04-09
2020-04-10 18:35:16,1,827.0,13.78,1.21,2020-04-10
2020-04-10 18:35:16,2,754.0,12.57,1.33,2020-04-10
2020-04-10 18:35:16,3,1085.0,18.08,0.96,2020-04-10
2020-04-11 18:55:15,1,752.0,12.53,1.33,2020-04-11
2020-04-11 18:55:15,2,686.0,11.43,1.46,2020-04-11
2020-04-11 18:55:15,3,695.0,11.58,1.44,2020-04-11
2020-04-11 18:55:15,4,855.0,14.25,1.26,2020-04-11
2020-04-11 18:55:15,5,771.0,12.85,1.3,2020-04-11
2020-04-11 18:55:15,6,693.0,11.55,1.5,2020-04-11
2020-04-11 18:55:15,7,69.0,1.15,14.48,2020-04-11
2020-04-14 11:49:31,1,1426.0,23.77,1.32,2020-04-14
2020-04-15 17:48:47,1,825.0,13.75,1.21,2020-04-15
2020-04-15 17:48:47,2,771.0,12.85,1.3,2020-04-15
2020-04-15 17:48:47,3,802.0,13.37,1.25,2020-04-15
2020-04-15 17:48:47,4,789.0,13.15,1.27,2020-04-15
2020-04-15 17:48:47,5,824.0,13.73,1.22,2020-04-15
2020-04-15 17:48:47,6,841.0,14.02,1.19,2020-04-15
2020-04-15 17:48:47,7,795.0,13.25,1.26,2020-04-15
2020-04-15 17:48:47,8,747.0,12.45,1.34,2020-04-15
2020-04-16 18:40:04,1,756.0,12.6,1.32,2020-04-16
2020-04-16 18:40:04,2,833.0,13.88,1.2,2020-04-16
2020-04-16 18:40:04,3,767.0,12.78,1.31,2020-04-16
2020-04-16 18:40:04,4,838.0,13.97,1.2,2020-04-16
2020-04-16 18:40:04,5,798.0,13.3,1.25,2020-04-16
2020-04-17 10:51:40,1,1079.0,17.98,1.0,2020-04-17
2020-04-17 10:51:40,2,982.0,16.37,1.06,2020-04-17
2020-04-17 14:55:22,1,557.0,9.28,1.8,2020-04-17
2020-04-17 15:34:29,1,690.0,11.5,1.45,2020-04-17
2020-04-17 15:34:29,2,2756.0,45.93,0.95,2020-04-17
2020-04-17 15:34:29,3,731.0,12.18,1.37,2020-04-17
2020-04-18 13:21:49,1,622.0,10.37,1.62,2020-04-18
2020-04-18 07:11:17,1,664.0,11.07,1.51,2020-04-18
2020-04-18 07:11:17,2,671.0,11.18,1.49,2020-04-18
2020-04-19 15:25:47,1,1057.0,17.62,1.03,2020-04-19
2020-04-19 15:25:47,2,773.0,12.88,1.3,2020-04-19
2020-04-19 15:25:47,3,857.0,14.28,1.17,2020-04-19
2020-04-19 15:25:47,4,1493.0,24.88,0.75,2020-04-19
2020-04-19 15:25:47,5,777.0,12.95,1.29,2020-04-19
2020-04-19 15:25:47,6,746.0,12.43,1.34,2020-04-19
2020-04-24 21:01:26,1,726.0,12.1,1.38,2020-04-24
2020-04-24 18:25:38,1,756.0,12.6,1.33,2020-04-24
2020-04-24 18:25:38,2,691.0,11.52,1.45,2020-04-24
2020-04-24 18:25:38,3,702.0,11.7,1.43,2020-04-24
2020-04-24 18:25:38,4,679.0,11.32,1.47,2020-04-24
2020-04-24 18:25:38,5,680.0,11.33,1.47,2020-04-24
2020-04-24 18:25:38,6,721.0,12.02,1.39,2020-04-24
2020-04-29 18:17:04,1,588.0,9.8,1.7,2020-04-29
2020-04-29 18:17:04,2,703.0,11.72,1.44,2020-04-29
2020-04-29 18:17:04,3,188.0,3.13,6.0,2020-04-29
2020-04-30 21:02:19,1,693.0,11.55,1.45,2020-04-30
2020-05-01 14:56:57,1,654.0,10.9,1.52,2020-05-01
2020-05-01 14:56:57,2,699.0,11.65,1.43,2020-05-01
2020-05-01 14:56:57,3,675.0,11.25,1.48,2020-05-01
