date,steps
2020-01-02,8768
2020-01-03,15624
2020-01-04,11091
2020-01-05,9104
2020-01-06,10133
2020-01-07,10474
2020-01-08,5581
2020-01-09,14789
2020-01-10,23159
2020-01-11,11952
2020-01-12,8972
2020-01-13,20257
2020-01-14,14728
2020-01-15,15417
2020-01-16,30408
2020-01-17,14417
2020-01-18,7896
2020-01-19,30914
2020-01-20,27669
2020-01-21,20237
2020-01-22,20396
2020-01-23,39438
2020-01-24,7319
2020-01-25,21833
2020-01-26,22463
2020-01-27,28352
2020-01-28,16803
2020-01-29,14580
2020-01-30,14674
2020-01-31,20475
2020-02-01,38814
2020-02-02,14330
2020-02-03,14397
2020-02-04,19481
2020-02-05,20864
2020-02-06,17063
2020-02-07,16019
2020-02-08,18218
2020-02-09,7213
2020-02-10,21062
2020-02-11,11612
2020-02-12,16671
2020-02-13,15732
2020-02-14,20121
2020-02-15,25510
2020-02-16,23343
2020-02-17,20184
2020-02-18,17402
2020-02-19,17153
2020-02-20,12056
2020-02-21,18902
2020-02-22,55099
2020-02-23,6115
2020-02-24,15229
2020-02-25,11418
2020-02-26,18188
2020-02-27,14517
2020-02-28,15375
2020-02-29,16085
2020-03-01,32647
2020-03-02,17972
2020-03-03,24667
2020-03-04,25131
2020-03-05,15755
2020-03-06,33111
2020-03-07,22265
2020-03-08,28197
2020-03-09,26701
2020-03-10,20435
2020-03-11,26498
2020-03-12,16826
2020-03-13,32201
2020-03-14,12155
2020-03-15,24722
2020-03-16,17287
2020-03-17,15973
2020-03-18,36252
2020-03-19,30235
2020-03-20,8789
2020-03-21,14982
2020-03-22,41940
2020-03-23,18002
2020-03-24,10799
2020-03-25,26306
2020-03-26,29672
2020-03-27,16941
2020-03-28,18647
2020-03-29,16710
2020-03-30,16489
2020-03-31,5900
2020-04-01,26799
2020-04-02,5734
2020-04-03,25918
2020-04-04,26928
2020-04-05,33590
2020-04-06,36591
2020-04-07,1949
2020-04-08,7754
2020-04-09,20183
2020-04-10,19274
2020-04-11,27689
2020-04-12,35454
2020-04-13,7008
2020-04-14,6021
2020-04-15,31753
2020-04-16,22920
2020-04-17,33398
2020-04-18,16323
2020-04-19,18081
2020-04-20,8763
2020-04-21,29602
2020-04-22,5721
2020-04-23,8737
2020-04-24,19723
2020-04-25,28707
2020-04-26,42567
2020-04-27,6493
2020-04-28,4325
2020-04-29,10423
2020-04-30,26995
2020-05-01,27640
2020-05-02,25863
2020-05-03,28924
2020-05-04,3608
2020-05-05,26879
2020-05-06,36849
2020-05-07,7991
2020-05-08,4886
2020-05-09,17953
2020-05-10,24045
2020-05-11,27818
2020-05-12,9970
2020-05-13,19021
2020-05-14,31346
2020-05-15,12072
2020-05-16,32190
2020-05-17,12695
2020-05-18,22702
2020-05-19,2185
2020-05-20,21691
2020-05-21,29078
2020-05-22,19979
2020-05-23,18755
2020-05-24,44621
2020-05-25,5246
2020-05-26,3410
2020-05-27,12526
2020-05-28,32601
2020-05-29,14994
2020-05-30,31174
2020-05-31,29172
2020-06-01,7084
2020-06-02,3430
2020-06-03,5234
2020-06-04,31001
2020-06-05,29015
2020-06-06,33018
2020-06-07,28504
2020-06-08,2614
2020-06-09,2426
2020-06-10,17057
2020-06-11,17381
2020-06-12,26304
2020-06-13,32823
2020-06-14,29521
2020-06-15,2174
2020-06-16,8858
2020-06-17,8248
2020-06-18,23540
2020-06-19,28151
2020-06-20,23630
2020-06-21,29242
2020-06-22,19296
2020-06-23,5545
2020-06-24,3412
2020-06-25,19711
2020-06-26,16099
2020-06-27,28497
